,name,strikes_taken,percent_strikes_taken,sig_strikes_taken,percent_sig_strikes_taken,times_knocked_down,weight_class,was_kod_tkod
0,Adrian Yanez,23,0.45098039215686275,23,0.45,0,Bantamweight,False
1,Gustavo Lopez,41,0.39805825242718446,41,0.39,2,Bantamweight,True
2,Trevin Giles,75,0.6818181818181818,32,0.47,0,Middleweight,False
3,Roman Dolidze,43,0.589041095890411,27,0.47,0,Middleweight,False
4,Tai Tuivasa,2,0.3333333333333333,2,0.33,0,Heavyweight,False
5,Harry Hunsucker,14,0.7777777777777778,14,0.77,1,Heavyweight,True
6,Cheyanne Buys,136,0.8095238095238095,15,0.36,0,Women's Strawweight,False
7,Montserrat Conejo,49,0.5632183908045977,31,0.47,0,Women's Strawweight,False
8,Marion Reneau,92,0.5,51,0.36,0,Women's Bantamweight,False
9,Macy Chiasson,59,0.6344086021505376,30,0.47,0,Women's Bantamweight,False
10,Leonardo Santos,75,0.5681818181818182,46,0.54,0,Lightweight,True
11,Grant Dawson,74,0.6434782608695652,30,0.44,0,Lightweight,False
12,Song Kenan,17,0.6071428571428571,17,0.6,1,Welterweight,True
13,Max Griffin,14,0.5833333333333334,14,0.58,0,Welterweight,False
14,Derek Brunson,190,0.8050847457627118,36,0.48,0,Middleweight,False
15,Kevin Holland,226,0.6996904024767802,43,0.46,0,Middleweight,False
16,Montel Jackson,14,0.56,14,0.56,0,Bantamweight,False
17,Jesse Strader,15,0.5769230769230769,15,0.57,2,Bantamweight,True
18,Bruno Silva,37,0.4868421052631579,17,0.3,0,Flyweight,False
19,JP Buys,62,0.6966292134831461,37,0.6,3,Flyweight,True
20,Manel Kape,76,0.5757575757575758,55,0.53,0,Flyweight,False
21,Matheus Nicolau,73,0.44242424242424244,61,0.4,0,Flyweight,False
22,Misha Cirkunov,16,0.5517241379310345,16,0.55,1,Light Heavyweight,True
23,Ryan Spann,5,0.2777777777777778,5,0.27,0,Light Heavyweight,False
24,Leon Edwards,14,0.4375,8,0.3,0,Welterweight,False
25,Belal Muhammad,20,0.5,19,0.48,0,Welterweight,False
26,Charles Jourdain,80,0.3791469194312796,74,0.36,0,Featherweight,False
27,Marcelo Rojo,128,0.5161290322580645,106,0.48,2,Featherweight,True
28,Eryk Anders,21,0.4117647058823529,15,0.35,0,Middleweight,False
29,Darren Stewart,58,0.7341772151898734,43,0.68,1,Middleweight,False
30,Angela Hill,53,0.3706293706293706,34,0.29,0,Women's Strawweight,False
31,Ashley Yoder,97,0.5878787878787879,77,0.57,0,Women's Strawweight,False
32,Jonathan Martinez,49,0.44144144144144143,48,0.43,1,Bantamweight,True
33,Davey Grant,29,0.4084507042253521,29,0.4,1,Bantamweight,False
34,Dan Ige,1,1.0,1,1.0,0,Featherweight,False
35,Gavin Tucker,1,0.25,1,0.25,1,Featherweight,True
36,Nasrat Haqparast,54,0.2465753424657534,52,0.23,0,Lightweight,False
37,Rafa Garcia,99,0.4541284403669725,99,0.45,0,Lightweight,False
38,Cortney Casey,58,0.5858585858585859,45,0.56,0,Women's Flyweight,False
39,JJ Aldrich,121,0.599009900990099,55,0.41,0,Women's Flyweight,False
40,Matthew Semelsberger,4,1.0,4,1.0,0,Welterweight,False
41,Jason Witt,3,0.6,3,0.6,1,Welterweight,True
42,Rani Yahya,15,0.42857142857142855,3,0.16,0,Bantamweight,False
43,Ray Rodriguez,42,0.6461538461538462,8,0.61,0,Bantamweight,False
44,Gloria de Paula,50,0.4,24,0.3,0,Women's Strawweight,False
45,Jinh Yu Frey,51,0.5368421052631579,31,0.49,0,Women's Strawweight,False
46,Dominick Cruz,74,0.38341968911917096,74,0.38,0,Bantamweight,False
47,Casey Kenney,115,0.5021834061135371,89,0.44,0,Bantamweight,False
48,Song Yadong,69,0.45394736842105265,59,0.41,0,Bantamweight,False
49,Kyler Phillips,89,0.4708994708994709,67,0.41,0,Bantamweight,False
50,Petr Yan,119,0.4576923076923077,97,0.42,0,Bantamweight,False
51,Aljamain Sterling,103,0.6560509554140127,86,0.62,1,Bantamweight,False
52,Jan Blachowicz,99,0.5439560439560439,78,0.48,0,Light Heavyweight,False
53,Israel Adesanya,184,0.6666666666666666,107,0.55,0,Light Heavyweight,False
54,Thiago Santos,50,0.4854368932038835,36,0.4,0,Light Heavyweight,False
55,Aleksandar Rakic,61,0.5596330275229358,49,0.5,0,Light Heavyweight,False
56,Joseph Benavidez,71,0.6635514018691588,58,0.65,0,Flyweight,False
57,Askar Askarov,61,0.46923076923076923,46,0.4,0,Flyweight,False
58,Amanda Nunes,2,0.4,2,0.4,0,Women's Featherweight,False
59,Megan Anderson,19,0.7307692307692307,18,0.72,0,Women's Featherweight,False
60,Islam Makhachev,14,0.5833333333333334,10,0.5,0,Lightweight,False
61,Drew Dober,102,0.8571428571428571,15,0.6,0,Lightweight,False
62,Tim Elliott,22,0.6285714285714286,13,0.52,0,Flyweight,False
63,Jordan Espinosa,91,0.7583333333333333,25,0.56,0,Flyweight,False
64,Livinha Souza,30,0.6382978723404256,29,0.63,2,Women's Strawweight,True
65,Amanda Lemos,1,0.14285714285714285,1,0.14,0,Women's Strawweight,False
66,Rogerio Bontorin,21,0.65625,13,0.59,1,Flyweight,True
67,Kai Kara-France,27,0.627906976744186,6,0.35,0,Flyweight,False
68,Uros Medic,0,0.0,0,0.0,0,Lightweight,False
69,Aalon Cruz,55,0.7432432432432432,45,0.71,1,Lightweight,True
70,Kennedy Nzechukwu,146,0.6431718061674009,146,0.64,0,Light Heavyweight,False
71,Carlos Ulberg,84,0.56,82,0.55,1,Light Heavyweight,True
72,Sean Brady,32,0.3368421052631579,21,0.25,0,Welterweight,False
73,Jake Matthews,133,0.7112299465240641,37,0.54,0,Welterweight,False
74,Mario Bautista,36,0.8181818181818182,23,0.76,1,Bantamweight,True
75,Trevin Jones,43,0.671875,21,0.5,0,Bantamweight,False
76,Jairzinho Rozenstruik,128,0.6336633663366337,102,0.57,0,Heavyweight,False
77,Ciryl Gane,49,0.44144144144144143,42,0.4,0,Heavyweight,False
78,Montana De La Rosa,111,0.7816901408450704,52,0.65,0,Women's Flyweight,False
79,Mayra Bueno Silva,107,0.6858974358974359,30,0.41,0,Women's Flyweight,False
80,Vince Cachero,102,0.6754966887417219,77,0.63,0,Bantamweight,True
81,Ronnie Lawrence,23,0.41818181818181815,15,0.32,0,Bantamweight,False
82,Alexander Hernandez,53,0.2896174863387978,53,0.28,0,Lightweight,False
83,Thiago Moises,50,0.24390243902439024,50,0.24,0,Lightweight,False
84,Pedro Munhoz,65,0.33678756476683935,65,0.33,0,Bantamweight,False
85,Jimmie Rivera,94,0.4845360824742268,94,0.48,0,Bantamweight,False
86,Alex Caceres,26,0.3880597014925373,16,0.31,0,Featherweight,False
87,Kevin Croom,97,0.8016528925619835,48,0.7,0,Featherweight,False
88,Alexis Davis,71,0.41040462427745666,64,0.38,0,Women's Bantamweight,False
89,Sabina Mazo,128,0.6530612244897959,49,0.59,0,Women's Bantamweight,False
90,Nikita Krylov,89,0.6223776223776224,43,0.46,0,Light Heavyweight,False
91,Magomed Ankalaev,58,0.4393939393939394,47,0.39,0,Light Heavyweight,False
92,Dustin Jacoby,80,0.46511627906976744,66,0.42,2,Light Heavyweight,False
93,Maxim Grishin,60,0.425531914893617,57,0.41,0,Light Heavyweight,False
94,Aleksei Oleinik,34,0.6071428571428571,34,0.6,0,Heavyweight,True
95,Chris Daukaus,6,0.5454545454545454,5,0.5,0,Heavyweight,False
96,Charles Rosa,96,0.8205128205128205,45,0.75,1,Featherweight,False
97,Darrick Minner,40,0.7843137254901961,15,0.6,0,Featherweight,False
98,Phil Hawes,87,0.7016129032258065,57,0.61,0,Middleweight,False
99,Nassourdine Imavov,101,0.7890625,31,0.57,0,Middleweight,False
100,Curtis Blaydes,7,0.30434782608695654,7,0.3,1,Heavyweight,True
101,Derrick Lewis,28,0.5384615384615384,28,0.53,0,Heavyweight,False
102,Eddie Wineland,44,0.7457627118644068,42,0.73,1,Bantamweight,True
103,John Castaneda,17,0.25757575757575757,17,0.25,0,Bantamweight,False
104,Andrei Arlovski,41,0.640625,37,0.61,0,Heavyweight,False
105,Tom Aspinall,22,0.38596491228070173,20,0.36,0,Heavyweight,False
